Seed: nov22_03
            NAME              |   ATTRS    |   TIME   |  DURATION  |   RANGE   | SCHL | DESCRIPTION
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LEVEL 0:                      |            |          |            |           |      |
FRIENDS                       | C     S M  | A        | MIN        | SELF      | ENCH | The casters gets advantage on all Charisma checks directed at one chosen creature that isn't hostile toward him.
LIGHT                         |     V   M  | A        | HR         | TOUCH     | EVOC | Make an object to shed bright light in a 20-ft radius and dim light in an additional 20-ft radius.
BLADE WARD                    |     V S    | A        | ROUND      | SELF      | ABJU | The caster gets resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.
RESISTANCE                    | C   V S M  | A        | MIN        | TOUCH     | ABJU | The target can add 1d4 to one saving throw of its choice.
                              |            |          |            |           |      |
LEVEL 1:                      |            |          |            |           |      |
SNARE                         |       S M  | MIN      | DISP, TRIG | TOUCH     | ABJU | Create a magic trap (Dex. save or the Small to Large size creature is hoisted into the air).
PROTECTION FROM EVIL AND GOOD | C   V S M  | A        | 10 MINS    | TOUCH     | ABJU | The target is protected (disadvantage on attack rolls) against aberrations, celestials, elementals, fey, fiends, and undead.
HELLISH REBUKE                |     V S    | REACT    | INST       | 60        | EVOC | The target must succeed on a Dex. save or take 2d10 fire damage (damage/lvl).
                              |            |          |            |           |      |
LEVEL 2:                      |            |          |            |           |      |
ALTER SELF                    | C   V S    | A        | HR         | SELF      | TRAN | Give a new form depending on the chosen option (Aquatic Adaptation, Change Appearance, or Natural Weapons).
DRAGON'S BREATH               | C   V S M  | BA       | MIN        | TOUCH     | TRAN | Spew a 15-ft cone that deals 3d6 acid, cold, fire, lightning, or poison damage in case of failed Dex. save (damage/lvl).
BARKSKIN                      | C   V S M  | A        | HR         | TOUCH     | TRAN | The target's AC can't be less than 16.
                              |            |          |            |           |      |
LEVEL 3:                      |            |          |            |           |      |
GLYPH OF WARDING              |     V S M  | HR       | DISP, TRIG | TOUCH     | ABJU | A glyph on an object deals 5d8 damage in a 20-ft radius (damage/lvl) or casts a 3rd level spell (lvl/lvl) when triggered.
WIND WALL                     | C   V S M  | A        | MIN        | 120       | EVOC | Create a 50-ft-long, 15-ft-high, 1-ft-thick wall of wind. Small flying creatures can't pass. Arrows and bolts are deflected.
SLOW                          | C   V S M  | A        | MIN        | 120       | TRAN | Up to 6 targets must succeed on a Wis. save, or have their speed and actions reduced and -2 to CA and Dex. saves.
CONJURE BARRAGE               |     V S M  | A        | INST       | SELF      | CONJ | Creatures in a 60-ft cone must succeed on a Dex. save or take 3d8 damage from the weapon/ammunition used.
                              |            |          |            |           |      |
LEVEL 4:                      |            |          |            |           |      |
MORDENKAINEN'S  HOUND         |     V S M  | A        | 8 HRS      | 30        | CONJ | Summon an invisible watchdog that barks when a creature approaches and attacks it (4d8 piercing damage).
CHARM MONSTER                 |     V S    | A        | HR         | 30        | ENCH | The target must succeed on a Wis. save or be charmed by the caster (duration/lvl).
                              |            |          |            |           |      |
LEVEL 5:                      |            |          |            |           |      |
SKILL EMPOWERMENT             | C   V S    | A        | HR         | TOUCH     | TRAN | The target doubles its proficiency bonus for one skill.
ANTILIFE SHELL                | C   V S    | A        | HR         | SELF      | ABJU | Prevent creatures other than undead and constructs from entering in a 10-ft radius.
                              |            |          |            |           |      |
