Lvl,Spell,Ritual,Concentration,Range,"V,S,M",School,Casting Time,Description
8,Abi-Dalzim's Horrid Wilting,,,150 ft,"V,S,M",necromancy,1 action,Creatures in a 30-foot cube must succeed on a Con. save or take 12d8 necrotic damage. Plants wither and die.
1,Absorb Elements,,,Self,S,abjuration,1 reaction,The caster has resistance to the damage received and deals 1d6 extra damage of the same type on his next attack (damage/lvl).
0,Acid Splash,,,60 ft,"V,S",conjuration,1 action,1 or 2 creatures within 5 feet must succeed on a Dex. save or take 1d6 acid damage (damage/lvl).
2,Aganazzar's Scorcher,,,30 ft,"V,S,M",evocation,1 action,"Creatures on a 30-ft-long, 5-ft-wide line must succeed on a Dex. save or taker 3d8 fire damage (damage/lvl)."
2,Aid,,,30 ft,"V,S,M",abjuration,1 action,Up to 3 creatures increase their hp maximum and current hp by 5 (+5 hp/lvl).
1,Alarm,Ritual,,30 ft,"V,S,M",abjuration,1 minute,Alert the caster or activate an alarm if a Tiny or larger creature enters a warded 20-ft cube.
2,Alter Self,,Concentration,Self,"V,S",transmutation,1 action,"Give a new form depending on the chosen option (Aquatic Adaptation, Change Appearance, or Natural Weapons)."
1,Animal Friendship,,,30 ft,"V,S,M",enchantment,1 action,A beast with Intelligence 3 or less must succeed on a Wis. save or be charmed (+1 beast/lvl).
2,Animal Messenger,Ritual,,30 ft,"V,S,M",enchantment,1 action,A Tiny beast travels to deliver a 25 words message to a target (+48 h/lvl).
8,Animal Shapes,,Concentration,30 ft,"V,S",transmutation,1 action,Willing targets within 30 ft turn into beasts of FP 4 or lower.
3,Animate Dead,,,10 ft,"V,S,M",necromancy,1 minute,"Create a skeleton from bones or a zombie from a corpse, who is under the caster control (+2 creatures/lvl)."
5,Animate Objects,,Concentration,120 ft,"V,S",transmutation,1 action,Animate up to 10 non-magic objects and control their actions up to 500 ft (+2 items/lvl).
5,Antilife Shell,,Concentration,Self (10-ft radius),"V,S",abjuration,1 action,Prevent creatures other than undead and constructs from entering in a 10-ft radius.
8,Antimagic Field,,Concentration,Self (10-ft-radius sphere),"V,S,M",abjuration,1 action,Create a 10-ft-radius sphere in which spells and magic items no longer work.
8,Antipathy/Sympathy,,,60 ft,"V,S,M",enchantment,1 hour,Attract or repel (Wis. save in order to not be attracted or scared) a kind of creature designated within 60 ft.
4,Arcane Eye,,Concentration,30 ft,"V,S,M",divination,1 action,Create an invisible eye with darkvision that sends the caster the mental image of what it sees.
6,Arcane Gate,,Concentration,500 ft,"V,S",conjuration,1 action,Create 2 portals (max 500 ft between them) and allow teleport from one to the other.
2,Arcane Lock,,,Touch,"V,S,M",abjuration,1 action,"Lock an objet (door, window, chest, etc) and the caster can set a password to suppresses the spell for 1 minute."
1,Armor of Agathys,,,Self,"V,S,M",abjuration,1 action,The caster gains 5 temporary hp and creatures who hits him with a melee attack take 5 cold damage (+5 hp and damage/lvl).
1,Arms of Hadar,,,Self (10-ft radius),"V,S",conjuration,1 action,Creatures in a 10-ft radius must succeed on a Str. save or take 2d6 necrotic damage (damage/lvl)
9,Astral Projection,,,10 ft,"V,S,M",necromancy,1 hour,The caster and up to 8 creatures are projected into the Astral Plane.
2,Augury,Ritual,,Self,"V,S,M",divination,1 minute,"The caster obtains an omen about the result of an action within the next 30 min (weal, woe, both or nothing)."
4,Aura of Life,,Concentration,Self (30-ft radius),V,abjuration,1 action,Creatures in a 30-ft radius gain resistance to necrotic damage and regain 1 hp when at 0 hp.
4,Aura of Purity,,Concentration,Self (30-ft radius),V,abjuration,1 action,"Creatures in a 30-ft radius can not become diseased, gain resistance to poison, and get advantage to various saving throws."
3,Aura of Vitality,,Concentration,Self (30-ft radius),V,evocation,1 action,One target in a 30-ft radius regains 2d6 hp.
5,Awaken,,,Touch,"V,S,M",transmutation,8 hours,Give a beast or plant (Intelligence 3 or less) the ability to speek and senses similar to a human's for 30 days.
1,Bane,,Concentration,30 ft,"V,S,M",enchantment,1 action,Up to 3 targets must succeed on a Cha. save or subtract 1d4 from their attack roll or saving throw (+1 creature/lvl).
5,Banishing Smite,,Concentration,Self,V,abjuration,1 bonus action,"If the weapon attack hits, deal an extra 5d10 force damage. Target reduced to 50 hp or fewer this way are banised."
4,Banishment,,Concentration,60 ft,"V,S,M",abjuration,1 action,The target must succeed on a Cha. save or be banished to a harmless demiplane (+1 creature/lvl).
2,Barkskin,,Concentration,Touch,"V,S,M",transmutation,1 action,The target's AC can't be less than 16.
3,Beacon of Hope,,Concentration,30 ft,"V,S",abjuration,1 action,"Targets gain advantage on Wis. saving throws and death saving throws, and regain the maximum number of hp from healing."
1,Beast Bond,,Concentration,Touch,"V,S,M",divination,1 action,Create a telepathic link with one beast to communicate with it.
2,Beast Sense,Ritual,Concentration,Touch,S,divination,1 action,The caster can see/hear/feel through the senses of a willing beast.
3,Bestow Curse,,Concentration,Touch,"V,S",necromancy,1 action,The target must succeed on a Wis. save or suffer an effect as a disadvantage to a check or lose an action (duration/lvl).
5,Bigby's Hand,,Concentration,120 ft,"V,S,M",evocation,1 action,"Create a Large hand with a Strength of 26 that can strike (4d8 force damage), push, grapple, or protect (damage/lvl)."
